tipo,cidade,bairro,area_m2,quartos,banheiros,suites,andar,vagas,preco,latitude,longitude,portaria,vista_mar,condominio_fechado,piscina,deck,varanda_gourmet,varanda,academia,salao_festa,salao_jogos,quadra_campo,estado,tipo_imovel_padronizado
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,75.0,2.0,7.0,2.0,0.0,2.0,840000.0,-3.772205,-38.493758,True,False,True,True,True,True,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Fátima,66.0,3.0,2.0,2.0,3.0,2.0,650000.0,-3.745724,-38.53135,False,False,True,True,False,False,False,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Manuel Dias Branco,115.0,3.0,4.0,3.0,0.0,2.0,1650000.0,-3.751356,-38.460031,True,False,True,True,False,False,False,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Cocó,77.0,3.0,2.0,1.0,1.0,2.0,772000.0,-3.746529,-38.468867,True,False,False,True,True,False,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,57.0,2.0,2.0,1.0,0.0,1.0,532097.0,-3.784,-38.488,True,False,False,True,True,False,False,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Papicu,78.0,3.0,3.0,3.0,2.0,2.0,970000.0,-3.742288,-38.476264,True,True,False,True,True,True,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Parque Iracema,116.0,3.0,4.0,3.0,0.0,2.0,1030000.0,-3.807436,-38.495621,True,False,True,True,False,True,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,José Bonifácio,90.0,3.0,3.0,1.0,0.0,2.0,890000.0,-3.739668,-38.529478,True,False,True,True,True,True,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Meireles,73.0,2.0,3.0,2.0,0.0,0.0,996000.0,-3.727976,-38.505423,True,False,True,True,False,True,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Cocó,138.0,3.0,5.0,3.0,0.0,3.0,1199000.0,-3.743815,-38.476977,True,False,True,True,True,False,False,True,True,True,True,CE,apartamento_padrao
casa,Fortaleza,Maraponga,263.0,4.0,5.0,3.0,0.0,2.0,620000.0,-3.79315,-38.566872,False,False,False,False,False,False,True,True,False,False,False,CE,casa_padrao
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,45.0,1.0,1.0,1.0,11.0,1.0,520000.0,-3.770168,-38.491334,False,False,False,False,False,False,False,False,True,False,True,CE,apartamento_padrao
apartamento,Fortaleza,Itaperi,125.0,3.0,3.0,2.0,0.0,2.0,650000.0,-3.786747,-38.562722,False,False,False,True,False,False,True,True,False,False,False,CE,cobertura
apartamento,Fortaleza,Aldeota,127.0,3.0,4.0,3.0,0.0,2.0,790000.0,-3.744363,-38.491849,False,False,False,False,False,False,True,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Cocó,123.0,3.0,4.0,3.0,0.0,2.0,1200000.0,-3.746894,-38.474032,True,False,True,True,False,False,False,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Aldeota,133.0,3.0,4.0,3.0,2.0,3.0,1560757.0,-3.741141,-38.502884,True,False,False,True,True,True,True,True,True,True,False,CE,apartamento_padrao
apartamento,Fortaleza,Papicu,103.0,3.0,3.0,3.0,0.0,2.0,1090000.0,-3.741682,-38.476593,False,False,True,True,False,False,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Fátima,141.0,3.0,3.0,3.0,0.0,3.0,2188768.0,-3.747441,-38.530075,False,False,False,True,False,True,True,True,True,False,True,CE,apartamento_padrao
casa,Fortaleza,Lagoa Redonda,187.0,3.0,3.0,3.0,0.0,2.0,950000.0,-3.810865,-38.462521,False,False,True,True,True,False,True,True,True,False,True,CE,apartamento_padrao
apartamento,Fortaleza,Centro,115.0,3.0,3.0,1.0,0.0,1.0,369000.0,-3.732956,-38.514752,False,False,False,False,False,False,True,False,False,False,False,CE,apartamento_padrao
casa,Fortaleza,Sapiranga-Coité,181.0,4.0,4.0,4.0,0.0,2.0,1190000.0,-3.789536,-38.459855,False,False,False,True,True,False,False,True,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,São Gerardo,65.0,3.0,2.0,1.0,2.0,2.0,580000.0,-3.726139,-38.559081,False,False,True,False,False,False,True,False,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Manuel Dias Branco,145.0,3.0,4.0,3.0,0.0,3.0,1650000.0,-3.751356,-38.460031,False,False,False,False,False,False,False,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Damas,74.0,3.0,2.0,1.0,0.0,1.0,220000.0,-3.759763,-38.556267,False,False,True,False,False,False,False,False,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,75.0,2.0,2.0,2.0,0.0,2.0,820000.0,-3.772205,-38.493758,True,False,True,True,False,True,True,True,True,True,False,CE,apartamento_padrao
apartamento,Fortaleza,Barroso,46.0,2.0,2.0,1.0,1.0,1.0,260000.0,-3.815,-38.512,True,False,False,True,False,False,False,False,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Aldeota,126.0,3.0,4.0,3.0,1.0,0.0,672000.0,-3.743064,-38.51397,False,False,False,False,False,False,True,True,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Papicu,78.0,3.0,2.0,2.0,15.0,2.0,999689.0,-3.74,-38.483,True,False,False,True,False,False,True,True,True,False,True,CE,apartamento_padrao
apartamento,Fortaleza,Papicu,87.0,3.0,3.0,2.0,0.0,1.0,370000.0,-3.738485,-38.477767,False,False,True,False,False,False,False,False,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Cocó,146.0,3.0,4.0,3.0,0.0,3.0,990000.0,-3.746869,-38.475417,True,False,True,True,True,False,False,True,True,True,True,CE,apartamento_padrao
